title,make,model,year,condition,transmission,price
Toyota Camry 2013 Red,Toyota,Camry,2013,local used,automatic,"₦ 11,500,000"
Lexus RX 350 2017 Gold,Lexus,RX 350,2017,,automatic,"₦ 46,500,000"
Toyota Highlander 2015 White,Toyota,Highlander,2015,,automatic,"₦ 31,000,000"
Lexus RX 350 F Sport AWD 2016 Gray,Lexus,RX 350,2016,,automatic,"₦ 52,000,000"
New Mercedes-Benz G-Class 2025 Black,New,Mercedes-Benz G-Class,2025,new,automatic,"₦ 543,000,000"
Lexus RX 2016 Black,Lexus,RX,2016,,automatic,"₦ 46,000,000"
Lexus RX 350 AWD 2016 Blue,Lexus,RX 350,2016,,automatic,"₦ 46,000,000"
Lexus RX 350 2016 Black,Lexus,RX 350,2016,,automatic,"₦ 47,000,000"
Toyota Corolla SE (1.8L 4cyl 6M) 2019 Blue,Toyota,Corolla SE,2019,,automatic,"₦ 18,500,000"
Toyota Tundra 2010 Blue,Toyota,Tundra,2010,,automatic,"₦ 15,500,000"
Lexus RX 350 2019 Black,Lexus,RX 350,2019,,automatic,"₦ 50,000,000"
New Toyota Hilux 2025 Black,New,Toyota Hilux,2025,new,automatic,"₦ 94,500,000"
Lexus LX 2016 Black,Lexus,LX,2016,local used,automatic,"₦ 79,500,000"
Lexus RX 2017 Black,Lexus,RX,2017,,automatic,"₦ 47,500,000"
Lexus LX 2017 Black,Lexus,LX,2017,,automatic,"₦ 74,800,000"
New Mercedes-Benz G-Class 2025 White,New,Mercedes-Benz G-Class,2025,new,automatic,"₦ 542,000,000"
New Toyota Hilux 2024 Red,New,Toyota Hilux,2024,new,automatic,"₦ 125,000,000"
Mercedes-Benz C300 Luxury Sedan RWD (2.0L 4cyl 7A) 2017 Blue,Mercedes-Benz,C300 Luxury,2017,local used,automatic,"₦ 20,000,000"
Toyota Hilux Revo Double Cab Petrol 2.7 RWD 2016 White,Toyota,Hilux Revo,2016,local used,automatic,"₦ 42,000,000"
Hyundai Sonata 2011 Gray,Hyundai,Sonata,2011,local used,automatic,"₦ 6,450,000"
Volkswagen Jetta 2.5 SE PZEV 2008 Gray,Volkswagen,Jetta 2,2008,local used,automatic,"₦ 5,000,000"
Toyota RAV4 2012 White,Toyota,RAV4,2012,,automatic,"₦ 11,800,000"
Lexus RX 350 F Sport FWD 2017 Black,Lexus,RX 350,2017,,automatic,"₦ 60,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4 cyl 4A) 2009 Black,Toyota,Corolla LE,2009,local used,automatic,"₦ 8,000,000"
New Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2024 Black,New,Mercedes-Benz GLE-Class,2024,new,automatic,"₦ 285,000,000"
Toyota Camry 2006,Toyota,Camry,2006,local used,automatic,"₦ 5,300,000"
Mercedes-Benz C350 C350 RWD 2013 Silver,Mercedes-Benz,C350 C350,2013,,automatic,"₦ 22,000,000"
Lexus ES 350 FWD 2016 Black,Lexus,ES 350,2016,local used,automatic,"₦ 19,300,000"
Toyota RAV4 2.0 VVT-i 2008 Blue,Toyota,RAV4 2,2008,local used,automatic,"₦ 6,700,000"
Lexus ES 350 2007 Silver,Lexus,ES 350,2007,,automatic,"₦ 10,300,000"
Acura ZDX Base AWD 2010 Gray,Acura,ZDX Base,2010,local used,automatic,"₦ 12,000,000"
Ford Edge SEL 4dr AWD (3.5L 6cyl 6A) 2013 Blue,Ford,Edge SEL,2013,local used,automatic,"₦ 8,700,000"
Toyota Sienna XLE 2005 Blue,Toyota,Sienna XLE,2005,,automatic,"₦ 10,600,000"
Mercedes-Benz E350 2023 Gray,Mercedes-Benz,E350,2023,local used,automatic,"₦ 65,000,000"
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6AM) 2008 Silver,Toyota,Camry SE,2008,local used,automatic,"₦ 6,200,000"
Lexus RX 350 AWD 2017 White,Lexus,RX 350,2017,local used,automatic,"₦ 30,900,000"
Toyota Corolla LE Special Edition 4dr Sedan (1.8L 4cyl 4A) 2013 Red,Toyota,Corolla LE,2013,,automatic,"₦ 13,800,000"
